,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
582147,for_sale,495000.0,3.0,3.0,0.3,"84 Brookfield Dr, Jackson, NJ, 08527",84 Brookfield Dr,Jackson,New Jersey,3200.0,08527
582153,for_sale,220000.0,2.0,1.0,0.01,"903 Callas Ct, Jackson, NJ, 08527",903 Callas Ct,Jackson,New Jersey,1033.0,08527
582156,for_sale,420000.0,5.0,3.0,0.15,"454 Carlisa Dr, Brick, NJ, 08723",454 Carlisa Dr,Brick,New Jersey,3200.0,08723
582160,for_sale,575000.0,3.0,3.0,0.2,"53 Nottingham Way, Jackson, NJ, 08527",53 Nottingham Way,Jackson,New Jersey,2847.0,08527
582161,for_sale,439900.0,2.0,2.0,0.15,"26 Waltham Way, Jackson, NJ, 08527",26 Waltham Way,Jackson,New Jersey,1815.0,08527
582177,for_sale,549000.0,4.0,2.0,0.25,"17 Dogwood Dr, Jackson, NJ, 08527",17 Dogwood Dr,Jackson,New Jersey,1633.0,08527
582194,for_sale,375000.0,3.0,1.0,0.61,"41 Beam Ave, Jackson, NJ, 08527",41 Beam Ave,Jackson,New Jersey,1690.0,08527
582198,for_sale,2990000.0,12.0,8.0,0.18,"289 Periaqua Ln, Mantoloking, NJ, 08738",289 Periaqua Ln,Mantoloking,New Jersey,4842.0,08738
582203,for_sale,324900.0,2.0,3.0,0.18,"5 Manhattan Dr Unit 63, Brick, NJ, 08723",5 Manhattan Dr Unit 63,Brick,New Jersey,1442.0,08723
582207,for_sale,689000.0,4.0,4.0,0.46,"8 Briarheath Ave, Manalapan, NJ, 07726",8 Briarheath Ave,Manalapan,New Jersey,2019.0,07726
582208,for_sale,300000.0,2.0,1.0,0.15,"421 Mohawk Dr, Brick, NJ, 08723",421 Mohawk Dr,Brick,New Jersey,888.0,08723
582245,for_sale,750000.0,4.0,3.0,0.09,"335 Eltingville Blvd, Staten Island, NY, 10312",335 Eltingville Blvd,Staten Island,New York,3025.0,10312
582258,for_sale,1300000.0,6.0,4.0,0.17,"6650 Hylan Blvd Unit A, Staten Island, NY, 10309",6650 Hylan Blvd Unit A,Staten Island,New York,4500.0,10309
582288,for_sale,838000.0,4.0,4.0,0.08,"114 Tyrrell St, Staten Island, NY, 10307",114 Tyrrell St,Staten Island,New York,2780.0,10307
582289,for_sale,289000.0,3.0,2.0,0.11,"777 Gadek Pl, Perth Amboy, NJ, 08861",777 Gadek Pl,Perth Amboy,New Jersey,1420.0,08861
